reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,cleaned_content,polarity,sentiment
83ca29f9-2291-4052-adcb-e8b0604fcf5a,Warda,Nul ne marche pas et vous nous cassez la tête avec la pub à quoi bon si je l'installe et il n'arrive pas à le faire fonctionner ..je de s'installe,1,0,1.9,2026-02-12 09:46:33,,,nul ne marche pas et vous nous cassez la tête avec la pub à quoi bon si je l'installe et il n'arrive pas à le faire fonctionner ..je de s'installe,0.19999999999999998,Positif
78039fa6-38bd-49b0-a39c-e144e832b6d9,El Mahdi OUMY,"Promesse client non tenue ! Orange Money pas du tout opérationnelle, j'ai viré le montant de la facture pour réaliser le paiement sans succès. Montant encaissé sur Orange money mais l'application se ferme automatiquement quant on sélectionne ""Payer une facture"". IL faut que le support IT intervienne en urgence. Merci",1,1,1.8,2026-02-11 17:26:46,,,"promesse client non tenue ! orange money pas du tout opérationnelle, j'ai viré le montant de la facture pour réaliser le paiement sans succès. montant encaissé sur orange money mais l'application se ferme automatiquement quant on sélectionne payer une facture . il faut que le support it intervienne en urgence. merci",0.11124999999999999,Positif
52646500-7487-4531-9b00-6801a65eefda,Yassine Essalhi ياسين الصلحي (Welcome my friends),"L'application fonctionne très bien ; je l'ai appréciée et trouvée convaincante. Bonne chance, Orange !",5,1,1.9,2026-02-11 15:55:42,,,"l'application fonctionne très bien je l'ai appréciée et trouvée convaincante. bonne chance, orange !",0.2333333333333333,Positif
4a055511-afb2-4dc5-bba6-fca15014b111,ADIL NAJI,l'application demande mon numéro de l'identité ! est ce que c'est normal ou d'arnaque ?,3,1,,2026-02-10 11:22:37,,,l'application demande mon numéro de l'identité ! est ce que c'est normal ou d'arnaque ?,0.17,Positif
1416712a-5322-4937-b058-d8103b86b9c8,Fahd Slaoui,"Application nulle!!!. À chaque tentative de paiement, une erreur apparaît malgré compte alimenté. j’utilise Orange Money et la procédure n’est pas du tout fluide. très déçu, je vais chercher une autre application.",1,1,1.5.7,2026-02-10 10:17:05,,,"application nulle!!!. à chaque tentative de paiement, une erreur apparaît malgré compte alimenté. j utilise orange money et la procédure n est pas du tout fluide. très déçu, je vais chercher une autre application.",-0.15294642857142857,Négatif
dfd01579-9404-401d-8636-14550d5fb167,elkods20,وضعت المال قصد أداء فاتورة هناك مشكل في التطبيق,1,1,1.8,2026-02-10 08:45:58,,,وضعت المال قصد أداء فاتورة هناك مشكل في التطبيق,0.0,Neutre
936151a5-13d3-4f9a-9fbd-813cdcd41af0,Ayoub KAMALI,l'application comporte un bug,1,1,1.8,2026-02-09 14:58:21,,,l'application comporte un bug,0.0,Neutre
75501af3-96d4-49e5-8074-abe3663d8382,Naoual Hajib,"j'ai rechargé mon compte pour payer une facture, mais l'application présente un bug qui ne se résout pas malgré la mise à jour et la desinstallation et réinstallation de l'application, j'exige un remboursement !!!",1,2,,2026-02-09 13:58:19,,,"j'ai rechargé mon compte pour payer une facture, mais l'application présente un bug qui ne se résout pas malgré la mise à jour et la desinstallation et réinstallation de l'application, j'exige un remboursement !!!",-0.03765625,Neutre
fef3821e-5559-48c9-b361-c6fe4cbd1632,saouf abdelkarim,application ne fonctionne pas,1,1,1.8,2026-02-09 12:07:48,,,application ne fonctionne pas,0.0,Neutre
0800ba07-8f1c-4122-8aa1-443faac59336,Aziz Blalet,l application ne fonctionne pas,5,0,1.8,2026-02-09 11:42:33,,,l application ne fonctionne pas,0.0,Neutre
df88186f-2b2c-48f1-a9c4-6a377bcbe311,Rrr,"l'application ne fonctionne plus depuis qlq jours, il contient un bug",1,1,,2026-02-09 10:11:15,,,"l'application ne fonctionne plus depuis qlq jours, il contient un bug",0.15,Positif
d0d45069-992a-4c04-b5cc-099718542834,othmane ait amou,il ya des bugs sur l'application,3,0,1.8,2026-02-09 09:22:41,,,il ya des bugs sur l'application,0.0,Neutre
9729cbc6-8fee-4feb-b856-a87c3e98d175,Mahboub Abdo,top,5,0,,2026-02-09 07:42:19,,,top,0.0,Neutre
a0ae9008-c3ef-4185-8c0f-6fc4b1407599,fouad daoudi,bug total et provision bloquée !!,1,1,1.8,2026-02-08 22:42:04,,,bug total et provision bloquée !!,0.15625,Positif
75b54c70-0efa-42c6-8d59-90e360a3aace,Younes Amakran,"Après avoir alimenté mon compte avec succès, je tente de procéder au paiement d’une facture. Malheureusement, l’application se ferme automatiquement (crash) dès que j’accède à la section de paiement. J’ai réitéré l’opération plus d’une dizaine de fois, sans succès.",1,1,,2026-02-08 16:19:31,,,"après avoir alimenté mon compte avec succès, je tente de procéder au paiement d une facture. malheureusement, l application se ferme automatiquement crash dès que j accède à la section de paiement. j ai réitéré l opération plus d une dizaine de fois, sans succès.",-0.06666666666666667,Neutre
be8e5586-0da8-4f42-901a-1efd106dd241,Sophie Arianne,"en général l'application est superbe, mais y a plus de 3 jours que j'ai alimenter mon compte afin de pouvoir payer une facture, mais ça beug bcp, j' arrive plus à payer ma facture depuis l'application",2,2,1.8,2026-02-07 21:43:52,,,"en général l'application est superbe, mais y a plus de 3 jours que j'ai alimenter mon compte afin de pouvoir payer une facture, mais ça beug bcp, j' arrive plus à payer ma facture depuis l'application",0.32499999999999996,Positif
84341826-6954-4a3e-9026-9fa165225606,ilham kantra,j'ai alimenté mon compte orange money mais dès que j'appuie pour payer ma facture l'application se ferme toute seule car y'a un bug depuis 3 jours c'est la même chose!!!,1,2,1.8,2026-02-07 20:11:32,,,j'ai alimenté mon compte orange money mais dès que j'appuie pour payer ma facture l'application se ferme toute seule car y'a un bug depuis 3 jours c'est la même chose!!!,0.074,Neutre
